,occu_node_coor_list,14:35:08,316
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-21,-32,2
22,-21,-32,3
23,-20,-32,2
24,-18,-32,2
25,-18,-32,3
26,-22,-32,4
27,-22,-32,5
28,-21,-32,5
29,-22,-32,6
30,-21,-32,7
31,-20,-32,4
32,-18,-32,4
33,-17,-32,5
34,-19,-32,7
35,-32,-21,2
36,-32,-21,3
37,-32,-20,0
38,-32,-19,1
39,-32,-24,5
40,-32,-22,5
41,-32,-21,5
42,-32,-20,4
43,-32,-19,4
44,-32,-20,5
45,-32,-17,4
46,-32,-17,5
47,-32,-20,6
48,-32,-20,7
49,-32,-19,7
50,-32,-18,6
51,-32,-17,7
52,-21,-32,8
53,-20,-32,8
54,-19,-32,9
55,-18,-32,8
56,-17,-32,8
57,-18,-32,9
58,-20,-32,11
59,-19,-32,11
60,-17,-32,11
61,-21,-32,13
62,-21,-32,15
63,-20,-32,13
64,-18,-32,12
65,-17,-32,13
66,-19,-32,14
67,-20,-32,15
68,-19,-32,15
69,-32,-21,9
70,-32,-17,8
71,-32,-19,10
72,-32,-19,11
73,-32,-18,11
74,-16,-32,1
75,-15,-32,1
76,-13,-32,1
77,-16,-32,2
78,-14,-32,3
79,-15,-32,5
80,-15,-32,7
81,-9,-32,5
82,-11,-32,7
83,-10,-32,6
84,-9,-32,6
85,-8,-28,3
86,-8,-32,5
87,-7,-32,7
88,-1,-32,5
89,-1,-32,6
90,-14,-32,9
91,-13,-32,9
92,-15,-32,10
93,-16,-32,11
94,-14,-32,10
95,-11,-32,8
96,-9,-32,10
97,-13,-32,12
98,-14,-32,13
99,-10,-32,12
100,-1,-32,9
101,-32,-16,5
102,-32,-15,7
103,-32,-9,5
104,-32,-11,6
105,-32,-5,1
106,-32,-4,0
107,-32,-4,2
108,-32,-1,2
109,-32,-1,3
110,-32,-7,7
111,-32,-6,6
112,-32,-5,6
113,-32,-6,7
114,-32,-4,4
115,-32,-4,5
116,-32,-3,5
117,-32,-2,4
118,-32,-1,4
119,-32,-4,6
120,-32,-1,7
121,-32,-16,10
122,-32,-6,8
123,-32,-7,11
124,-32,-3,8
125,-32,-4,9
126,-32,-3,9
127,-32,-2,9
128,-32,-2,10
129,-32,-1,11
130,-32,-2,12
131,-32,-1,13
132,-32,-2,14
133,-3,-14,6
134,-2,-12,4
135,-2,-12,5
136,-2,-11,7
137,-1,-9,6
138,-1,-10,7
139,-1,-8,7
140,-3,-16,8
141,-3,-15,8
142,-3,-12,8
143,-2,-12,8
144,-20,-32,17
145,3,-32,7
146,4,-32,5
147,6,-32,4
148,5,-32,6
149,7,-32,6
150,9,-32,2
151,14,-32,3
152,9,-32,5
153,11,-32,5
154,8,-32,6
155,9,-32,6
156,14,-32,5
157,14,-32,7
158,1,-32,9
159,4,-32,8
160,10,-32,8
161,11,-32,8
162,10,-32,9
163,8,-32,10
164,10,-32,10
165,11,-32,11
166,14,-32,10
167,15,-32,10
168,14,-32,11
169,9,-32,12
170,17,-32,0
171,16,-32,1
172,19,-32,1
173,16,-32,3
174,21,-32,1
175,22,-32,1
176,21,-32,2
177,20,-32,3
178,23,-32,3
179,19,-32,4
180,17,-32,6
181,17,-32,7
182,18,-32,6
183,18,-32,7
184,22,-32,4
185,22,-32,5
186,20,-32,6
187,22,-32,6
188,23,-32,6
189,24,-32,2
190,24,-32,7
191,16,-32,8
192,17,-32,9
193,19,-32,8
194,17,-32,10
195,18,-32,10
196,19,-32,11
197,20,-32,9
198,21,-32,9
199,20,-32,10
200,22,-32,11
201,16,-32,12
202,17,-32,14
203,19,-32,14
204,21,-32,15
205,24,-32,8
206,25,-32,9
207,25,-32,11
208,27,-32,14
209,1,-15,5
210,1,-15,6
211,1,-13,6
212,0,-14,7
213,1,-14,7
214,0,-8,0
215,0,-8,1
216,0,-8,2
217,1,-8,2
218,0,-8,3
219,0,-8,4
220,0,-7,4
221,0,-8,5
222,0,-8,6
223,0,-8,7
224,1,-8,7
225,1,-14,8
226,2,-13,9
227,1,-11,8
228,1,-12,9
229,1,-8,8
230,2,-8,8
231,18,-32,18
232,23,-32,16
233,-32,2,2
234,-32,0,6
235,-32,1,7
236,-32,6,6
237,-32,8,3
238,-32,15,3
239,-32,11,4
240,-32,9,6
241,-32,11,6
242,-32,12,4
243,-32,13,4
244,-32,13,5
245,-32,14,6
246,-32,0,9
247,-32,1,9
248,-32,3,9
249,-32,2,10
250,-32,8,9
251,-32,10,8
252,-32,13,10
253,-32,13,11
254,-32,8,12
255,-32,9,13
256,-32,14,13
257,-1,6,0
258,-1,6,1
259,-1,6,3
260,-1,6,5
261,-1,7,5
262,-1,5,6
263,-4,7,7
264,-1,6,6
265,-1,6,7
266,-5,11,6
267,-3,10,5
268,-4,10,7
269,-4,4,8
270,-4,5,8
271,-1,6,8
272,-6,9,8
273,-5,10,8
274,-1,13,8
275,-2,12,9
276,-1,15,9
277,-4,15,12
278,-32,16,4
279,-32,19,4
280,-32,19,5
281,-32,16,7
282,-32,17,7
283,-32,18,6
284,-32,19,6
285,-32,18,7
286,-32,19,7
287,-32,20,4
288,-32,21,5
289,-32,22,5
290,-32,21,6
291,-32,16,8
292,-32,18,8
293,-32,18,9
294,-32,19,9
295,-32,20,8
296,-32,20,10
297,-32,21,12
298,-32,15,16
299,-32,15,17
300,0,6,2
301,0,6,7
302,1,6,7
303,0,9,7
304,3,8,6
305,2,9,7
306,3,9,7
307,0,10,7
308,3,11,6
309,4,10,6
310,2,13,6
311,3,13,6
312,0,6,8
313,1,6,8
314,4,7,8
315,2,12,8
